    M Teff    L  lg  R       D      Li         F33        F33B         F41        F45B         F47         F51         FHa         F57        F63B         F67         F75         F78         F82        F82B         F89       G_RSV           G        G_BP        G_RP
  0.0100  1395.   -4.15   4.11  10.15  0.9950  1.0000      28.220      28.220      26.396      24.642      24.130      24.194      19.857      23.840      20.312      19.381      19.068      18.701      17.018      17.134      15.860      16.253      18.698      23.213      17.062
  0.0150  2209.   -3.15   4.09  12.70  0.3920  1.0000      23.654      23.654      23.029      20.980      20.848      19.888      17.271      19.210      17.669      16.836      15.050      14.971      13.678      13.922      12.711      13.798      15.520      19.469      13.886
  0.0200  2411.   -2.92   4.14  13.90  0.0010  1.0000      20.796      20.796      20.342      18.934      18.768      18.039      16.169      17.870      16.484      15.661      13.538      13.669      12.519      12.760      11.714      12.610      14.426      18.088      12.836
  0.0300  2555.   -2.84   4.33  13.64  0.0000  1.0000      19.680      19.680      19.155      17.952      17.771      17.153      15.463      17.018      15.756      14.961      12.820      13.001      11.997      12.216      11.304      11.999      13.911      17.252      12.362
  0.0400  2681.   -2.68   4.38  14.94  0.0000  1.0000      18.256      18.256      17.611      16.645      16.490      15.894      14.442      15.786      14.749      14.021      11.982      12.134      11.298      11.498      10.724      11.238      13.195      16.041      11.700
  0.0500  2811.   -2.52   4.40  16.32  0.0000  1.0000      17.366      17.366      16.659      15.880      15.708      15.247      13.580      14.876      13.896      13.198      11.343      11.477      10.762      10.935      10.245      10.654      12.614      15.186      11.161
  0.0600  2883.   -2.41   4.41  17.63  0.0000  1.0000      16.730      16.730      15.992      15.191      15.042      14.507      13.108      14.280      13.440      12.791      10.987      11.082      10.415      10.590       9.950      10.304      12.254      14.579      10.831
  0.0700  2940.   -2.31   4.41  19.00  0.0000  1.0000      16.237      16.237      15.480      14.705      14.563      14.026      12.711      13.824      13.048      12.425      10.672      10.748      10.116      10.288       9.682      10.001      11.939      14.123      10.537
  0.0720  2950.   -2.29   4.41  19.26  0.0000  1.0000      16.152      16.152      15.393      14.625      14.484      13.950      12.640      13.746      12.977      12.358      10.615      10.689      10.063      10.234       9.632       9.946      11.882      14.045      10.484
  0.0750  2964.   -2.27   4.41  19.60  0.0000  1.0000      16.036      16.036      15.272      14.514      14.373      13.844      12.542      13.636      12.879      12.265      10.536      10.607       9.990      10.160       9.566       9.871      11.804      13.937      10.411
  0.0800  2986.   -2.22   4.41  20.32  0.0000  1.0000      15.830      15.830      15.059      14.321      14.181      13.661      12.371      13.449      12.708      12.102      10.395      10.461       9.858      10.025       9.443       9.736      11.664      13.750      10.280
  0.0900  3025.   -2.15   4.41  21.45  0.0000  1.0000      15.518      15.518      14.689      13.991      13.855      13.353      12.064      13.107      12.402      11.814      10.172      10.221       9.649       9.811       9.253       9.520      11.432      13.418      10.068
